id,text
1,@realbacongains The worst <f0><U+009F><U+0091><U+008E> hang in there dude.
2,RT @yonewt: Do not take HUMIRA® if you have:
3,@PrincessBravato Considering the Humira I take is $4
4,RT @Duke_GI_: EMA recommends approval of Humira #biosimilar Imraldi https://t.co/y3QriqHBGb
5,@amyklobuchar @US_FDA Humira &amp; Remicaid prices are out of reach &amp; cancer is a side effect risk.
6,RT @maartsen: @ExpressScripts Accredo have confirmed two(!) orders for Humira for $26
7,@Alyssa_Milano I was going to congratulate you on the new Humira ad
8,@TheFive COMMERCIAL HUMOR ALERT: if #Humira causes #AlergicReactions do they supply #EpiPen  #LearnToListenToTryce lol
9,@ExpressScripts Accredo have confirmed two(!) orders for Humira for $26
10,Hate humira hate my boyfriend and horse is lame can this week possibly get any better
11,RT @yonewt: Do not take HUMIRA® if you have:
12,RT @accppediprn: The efficacy of #adalimumab—a fully human anti-TNF alpha monoclonal antibody— was investigated for the treatment... https:…
13,Intravenous or subcutaneous infusion of drugs such as infliximab
14,Anyone on #Humira? How long did the sickness last? I've been on it 4 weeks and I'm very sick. #crohns #IBD #crohnsdisease #ulcerativecolitis
15,i gave myself a pep talk on the way home from work about me not being a lil b for my humira injection &amp; it isnt even here yet. <f0><U+009F><U+0099><U+0084><f0><U+009F><U+0098><U+0092>
16,@VP @kaysalem Get rid of Obamacare. But I love paying $400 a month just for bloodwork that I need get taking Humira… https://t.co/HpvuLey25S
17,I still have some Humira leftover from last year. Maybe I'd only get a week of relief out of July
18,@gwoman9810 Unfortunately if you wanna stop progression
19,Seeing commercials for Humira makes me so frustrated
20,THIS is going to be fun to watch play out!  https://t.co/rJfp6BTqmH
21,Humira and Enbrel are out due to another autoimmune disease. I love the commercials &lt;sarcasm&gt;.<f0><U+009F><U+0098><U+0082><f0><U+009F><U+0098><U+008E>
22,@Redwood_Copy Good luck! I've been Humira for almost 8 yrs. I wrote a blog article w/tips for administering the inj… https://t.co/r12BOKjkLM
23,Just gonna keep all this O- to myself for awhile. Can I donate if I get on Humira? I honestly have no idea. Should ask my dermatologist...
24,Humira is a biologic
25,@wowtneria I'm allergic to remicade and Humira stopped working for me :( i developed antibodies. Then they put me o… https://t.co/9tBqQi9GMp
26,@PowerLunch #Humira Most Advt. Most RX'ed causes cancers in Autoimmune #LUPUS #sjogrens
27,@DewDiligence why would MNTA settle with ABBV to delay launch of an interchangeable Humira FoB?  strictly $$$
28,#Humira arrived today
29,@djpain1 my buddies humira at kaiser is 8 grand a shot! he needs 1 a month! AT 18 my ins. tried to deny me cancer t… https://t.co/PtPAhHs0Fl
30,RT @HurtBlogger: Am I paying for that donut? HELL YES. But when you're celebrating the 80th birthday of the man who created your Humira
31,@chiragontwtr In corporate-speak
32,@Sasa2455 no
33,"@DewDiligence '2022' vs. ""AbbVie CEO: Humira Biosimilars Won’t Reach Market Until AT LEAST 2022"" .... quite a difference"
34,The efficacy of #adalimumab—a fully human anti-TNF alpha monoclonal antibody— was investigated for the treatment... https://t.co/t0gcSY7S7P
35,This ewe needs Humira!
36,RT @EdwardLoftus2: EMA recommends approval of Humira #biosimilar Imraldi @HealioGastro #adalimumab  https://t.co/2CcQYJ6y34
37,RT @bionewsservices: EMA Committee Urges Approval of Humira Biosimilar Imraldi to Treat IBDs https://t.co/JFPEoXMiD9 https://t.co/9kCnhItbb1
